iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,29.905,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,3.4628,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,70.6292,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_BF_EXBF,Excl. BF,Layer 1,55.9656,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2020,NT_BW_LBW,Low Birth Weight,Layer 1,14.5933,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,14.3477,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,18.4353,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,59.9772,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_SADC,Southern African Development Community (SADC),2024,IM_DTP3,DTP3 Coverage,Layer 2,73.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_SADC,Southern African Development Community (SADC),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,58.7,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_SADC,Southern African Development Community (SADC),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,83.7,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_SADC,Southern African Development Community (SADC),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,36.9917,1,,,76.66666666666667,83.33333333333334,70.0
